wavelength,species,dl,sensitivity,photoreceptor
436,cod,light,0.283628969,mw
437,cod,light,0.290358852,mw
438,cod,light,0.297332552,mw
439,cod,light,0.304548091,mw
440,cod,light,0.312003145,mw
441,cod,light,0.319695045,mw
442,cod,light,0.327620773,mw
443,cod,light,0.335776965,mw
444,cod,light,0.344159904,mw
445,cod,light,0.352765527,mw
446,cod,light,0.361589422,mw
447,cod,light,0.370626832,mw
448,cod,light,0.379872657,mw
449,cod,light,0.389321458,mw
450,cod,light,0.398967459,mw
451,cod,light,0.408804557,mw
452,cod,light,0.418826324,mw
453,cod,light,0.429026013,mw
454,cod,light,0.43939657,mw
455,cod,light,0.449930636,mw
456,cod,light,0.460620562,mw
457,cod,light,0.471458414,mw
458,cod,light,0.482435984,mw
459,cod,light,0.493544802,mw
460,cod,light,0.504776146,mw
461,cod,light,0.516121052,mw
462,cod,light,0.52757033,mw
463,cod,light,0.539114572,mw
464,cod,light,0.550744165,mw
465,cod,light,0.562449305,mw
466,cod,light,0.574220007,mw
467,cod,light,0.586046119,mw
468,cod,light,0.597917336,mw
469,cod,light,0.609823207,mw
470,cod,light,0.621753149,mw
471,cod,light,0.633696462,mw
472,cod,light,0.645642332,mw
473,cod,light,0.65757985,mw
474,cod,light,0.669498016,mw
475,cod,light,0.681385748,mw
476,cod,light,0.693231895,mw
477,cod,light,0.70502524,mw
478,cod,light,0.716754511,mw
479,cod,light,0.728408383,mw
480,cod,light,0.739975488,mw
481,cod,light,0.751444416,mw
482,cod,light,0.762803722,mw
483,cod,light,0.774041929,mw
484,cod,light,0.785147527,mw
485,cod,light,0.796108981,mw
486,cod,light,0.806914726,mw
487,cod,light,0.817553175,mw
488,cod,light,0.828012714,mw
489,cod,light,0.838281704,mw
490,cod,light,0.848348483,mw
491,cod,light,0.858201365,mw
492,cod,light,0.867828638,mw
493,cod,light,0.877218569,mw
494,cod,light,0.886359401,mw
495,cod,light,0.895239355,mw
496,cod,light,0.903846636,mw
497,cod,light,0.912169431,mw
498,cod,light,0.920195916,mw
499,cod,light,0.927914263,mw
500,cod,light,0.935312642,mw
501,cod,light,0.942379237,mw
502,cod,light,0.949102252,mw
503,cod,light,0.955469923,mw
504,cod,light,0.961470539,mw
505,cod,light,0.967092453,mw
506,cod,light,0.972324109,mw
507,cod,light,0.977154058,mw
508,cod,light,0.981570991,mw
509,cod,light,0.985563764,mw
510,cod,light,0.989121432,mw
511,cod,light,0.992233283,mw
512,cod,light,0.994888878,mw
513,cod,light,0.997078094,mw
514,cod,light,0.998791165,mw
515,cod,light,1.000018734,mw
516,cod,light,1.0007519,mw
517,cod,light,1.000982275,mw
518,cod,light,1.000702033,mw
519,cod,light,0.999903976,mw
520,cod,light,0.998581585,mw
521,cod,light,0.996729082,mw
522,cod,light,0.994341493,mw
523,cod,light,0.991414703,mw
524,cod,light,0.987945519,mw
525,cod,light,0.983931727,mw
526,cod,light,0.979372148,mw
527,cod,light,0.974266687,mw
528,cod,light,0.96861639,mw
529,cod,light,0.96242348,mw
530,cod,light,0.955691404,mw
531,cod,light,0.948424861,mw
532,cod,light,0.940629831,mw
533,cod,light,0.932313597,mw
534,cod,light,0.923484753,mw
535,cod,light,0.914153209,mw
536,cod,light,0.904330184,mw
537,cod,light,0.894028195,mw
538,cod,light,0.883261027,mw
539,cod,light,0.872043703,mw
540,cod,light,0.860392442,mw
541,cod,light,0.848324601,mw
542,cod,light,0.83585862,mw
543,cod,light,0.823013946,mw
544,cod,light,0.809810959,mw
545,cod,light,0.796270888,mw
